User: xscvxc, count: 2492029
User: Miroff, count: 561270
User: Moreorless, count: 560792
User: siberiano, count: 500548
User: msergeyv100, count: 414431
User: Басмач, count: 318066
User: Jake Strine, count: 138625
User: Unken, count: 127977
User: vitstud54, count: 117087
User: whalerich, count: 102115
User: Pavel Melnikov, count: 93968
User: Kaylee, count: 91273
User: AndreySmirnov, count: 88622
User: Sherper, count: 85313
User: Ratty, count: 82823
User: koSS_Rus, count: 79106
User: demon_h, count: 72546
User: Anton Latkin, count: 65700
User: A54, count: 58531
User: michrom, count: 55079
User: Guamo, count: 54010
User: oo-O-oo, count: 53953
User: ONT, count: 53200
User: Antonio_92, count: 51906
User: MrYadro, count: 49710
User: F1ex, count: 45014
User: Olegctt, count: 41026
User: Magomogo, count: 36463
User: alex_hitman, count: 28055
User: yohanson, count: 27466
User: LGRV, count: 27277
User: maximaximax, count: 26215
User: mike_lyulyukin, count: 25784
User: velonavt, count: 24352
User: VlIvYur, count: 23968
User: MAS, count: 21134
User: ilya3l, count: 20700
User: Павел Яринюк, count: 20013
User: Nikolaev, count: 19954
User: afonin, count: 19880
User: rockcreek, count: 18535
User: katpatuka, count: 15691
User: pruosm, count: 14434
User: Z440, count: 14374
User: toyotagps, count: 13472
User: ImmortAlex, count: 12716
User: serhod, count: 12203
User: Natalia18, count: 11748
User: Karaban2008, count: 10632
User: ThaJk, count: 10370
User: malic, count: 10037
User: andrewK, count: 9873
User: te_mark, count: 9832
User: Starprinter, count: 7689
User: Denis Mack, count: 7563
User: vanomel, count: 7193
User: Андрей1978, count: 6943
User: vanchester, count: 6347
User: SunWind1076, count: 6171
User: Takuto, count: 5923
User: PARKER1979, count: 5534
User: Dharma-ae, count: 5490
User: max041, count: 5463
User: dndred, count: 5364
User: zebooka, count: 5322
User: LeonidDemidow, count: 5104
User: usama, count: 5012
User: #daf, count: 4741
User: Shtirlits, count: 4638
User: ordorub, count: 4602
User: Ошкуй, count: 4528
User: Fenuks, count: 4148
User: Kuprienko_Viktor, count: 4133
User: Vodila_55, count: 4102
User: Владимир К, count: 4017
User: Николай_К, count: 3971
User: Anatoli, count: 3912
User: Artamonovserg, count: 3743
User: GreedyGhost, count: 3677
User: alex_k1, count: 3601
User: Sergey_Dzhagov, count: 3470
User: Gum4eg, count: 3425
User: orb04, count: 3420
User: bekreyev, count: 3283
User: iWowik, count: 3219
User: UncleS, count: 3186
User: olkhovatskikh, count: 3123
User: literan, count: 3075
User: v-ozersk, count: 2980
User: CrazyViny, count: 2929
User: kimol, count: 2906
User: Gde-ja, count: 2888
User: gurin_andrey_vl, count: 2774
User: avi32, count: 2687
User: ghelius, count: 2639
User: dimryb, count: 2636
User: titanlis, count: 2622
User: Sergey N, count: 2589
User: Toliman, count: 2566
User: Айган, count: 2546
User: Upliner, count: 2542
User: Sasha_belok, count: 2441
User: filippov70, count: 2433
User: Stroger, count: 2217
User: zynsk, count: 2116
User: settler001, count: 2028
User: anton_r54, count: 1848
User: Brait, count: 1824
User: OldIvantey, count: 1668
User: lmaximov, count: 1664
User: Виталий Махно, count: 1571
User: dkiselev, count: 1396
User: pavel_vv, count: 1379
User: koloboks, count: 1362
User: Vlad2011_2011, count: 1345
User: Dmitry Y, count: 1328
User: SiemensOFF, count: 1266
User: IVM, count: 1262
User: Kostik, count: 1248
User: bs1980, count: 1214
User: Inego, count: 1211
User: RSergei, count: 1193
User: DmitrySA, count: 1185
User: ffk, count: 1185
User: Семён Семёнов, count: 1179
User: AleXanDeR_G, count: 1170
User: Yurez_nsk, count: 1127
User: Gorovato, count: 1120
User: Xmypblu, count: 1120
User: МаксимГавронин, count: 1118
User: Эцелоп, count: 1115
User: Slau, count: 1079
User: Spol81, count: 1026
User: amtor47, count: 1025
User: Valeriy  Polunovskiy, count: 992
User: RussianMaus, count: 983
User: SolTomsk1, count: 962
User: test67, count: 951
User: kiceleff, count: 946
User: Kosyak, count: 933
User: progserega, count: 913
User: MichaelCollinson, count: 912
User: Stane, count: 906
User: axtom, count: 897
